x,y,class
0.62945,0.28864,1
0.81158,-0.24278,1
-0.74603,0.62316,1
0.82675,0.065651,1
0.26472,-0.29855,1
-0.80492,0.878,1
-0.443,0.75189,1
0.093763,0.10031,1
0.91501,0.24495,1
0.92978,0.17409,1
-0.68477,-0.58452,1
0.94119,-0.39751,1
0.91433,-0.058153,1
-0.029249,-0.53902,1
0.60056,0.68862,1
-0.71623,-0.61047,1
-0.15648,-0.54816,1
0.83147,-0.65858,1
0.58441,-0.54467,1
0.91898,-0.1286,1
0.31148,-0.3778,1
-0.92858,0.84676,1
0.69826,-0.13959,1
0.86799,-0.63037,1
0.35747,0.80976,1
0.51548,0.9595,1
0.48626,-0.12226,1
-0.21555,-0.77776,1
0.31096,-0.48387,1
-0.65763,-0.18256,1
0.41209,0.18979,1
-0.93633,-0.47558,1
-0.44615,0.20569,1
-0.90766,0.42243,1
-0.80574,-0.55651,1
0.64692,-0.76516,1
0.38966,-0.40665,1
-0.3658,-0.36244,1
0.90044,-0.15167,1
-0.93111,0.015717,1
-0.12251,-0.82897,1
-0.23688,-0.47504,1
0.53103,0.60203,1
0.5904,-0.94156,1
-0.62625,0.85771,1
-0.020471,0.46066,1
-0.10883,-0.022782,1
0.29263,0.15705,1
0.41873,-0.52543,1
0.50937,-0.082302,1
-0.44795,0.92618,1
0.35941,0.093611,1
0.3102,0.042272,1
-0.67478,-0.53681,1
-0.762,-0.022205,1
-0.003272,0.24812,1
0.91949,0.35827,1
-0.31923,-0.20897,1
0.17054,-0.26513,1
-0.55238,0.97596,1
0.50253,-0.92452,1
-0.48981,0.77034,1
0.011914,0.82657,1
0.39815,0.59237,1
0.78181,-0.80258,1
0.91858,-0.47626,1
0.094431,-0.32929,1
-0.72275,0.35946,1
-0.70141,-0.72689,1
-0.48498,0.44245,1
0.68143,-0.78648,1
-0.49144,0.30751,1
0.62857,-0.011652,1
-0.51295,0.5581,1
0.85853,0.43007,1
-0.30003,0.80744,1
-0.60681,0.78185,1
-0.49783,-0.33167,1
0.23209,0.39749,1
-0.053422,-0.60438,1
-0.29668,-0.93892,1
0.66166,0.48815,1
0.17053,0.000045,1
0.099447,-0.040156,1
0.83439,0.80944,1
-0.42832,0.21973,1
0.5144,0.23533,1
0.50746,0.71888,1
-0.23911,0.61098,1
0.13564,0.15344,1
-0.84829,-0.63416,1
-0.8921,-0.52014,1
0.061595,0.77302,1
0.55833,-0.94265,1
0.86802,-0.020197,1
-0.74019,-0.66415,1
0.13765,0.95736,1
-0.061219,0.42539,1
-0.9762,0.000943,1
-0.32575,-0.057823,1
-0.67564,-0.88076,1
0.58857,0.36394,1
-0.37757,-0.91514,1
0.057066,-0.85711,1
-0.6687,0.0433,1
0.20396,-0.80654,1
-0.47406,0.6363,1
0.30816,0.63509,1
0.37843,0.44488,1
0.4963,-0.70027,1
-0.098917,0.31921,1
-0.83236,0.03719,1
-0.54205,0.94595,1
0.82667,0.29798,1
-0.69524,0.60066,1
0.65163,-0.092405,1
0.076685,-0.13522,1
0.99227,0.65063,1
-0.84365,-0.83306,1
-0.11464,-0.73366,1
-0.78669,-0.65322,1
0.9238,-0.21812,1
-0.99073,0.66276,1
0.54982,0.60673,1
0.63461,-0.87906,1
0.73739,-0.20148,1
-0.83113,0.053752,1
-0.20043,-0.1664,1
-0.48026,0.31372,1
0.60014,0.25595,1
-0.13717,-0.41603,1
0.8213,-0.1367,1
-0.63631,-0.96903,1
-0.47239,0.96813,1
-0.70892,-0.66566,1
-0.72786,-0.78757,1
0.73858,-0.25518,1
0.15941,-0.60376,1
0.09972,-0.020625,1
-0.71009,-0.32101,1
0.70606,0.90326,1
0.24411,0.84066,1
-0.2981,-0.89465,1
0.026499,0.47572,1
-0.19638,-0.46176,1
-0.84807,-0.15433,1
