x,y,class
-0.56706,-0.084492,1
0.5724,0.44442,1
0.44618,-0.322,1
-0.44232,-0.19756,1
0.16486,0.05396,1
-0.15799,0.78847,1
-0.81586,0.55672,1
-0.95195,-0.86126,1
-0.017708,-0.44243,1
-0.44347,-0.24126,1
-0.32049,0.72935,1
-0.4253,-0.16008,1
-0.65819,-0.52025,1
-0.20147,0.19531,1
0.3953,-0.041191,1
-0.59265,0.7971,1
0.33265,0.86942,1
-0.11387,0.63577,1
-0.13341,0.41782,1
-0.64952,0.48644,1
-0.6136,0.79942,1
0.23284,-0.86952,1
-0.46198,-0.32818,1
0.11936,-0.99133,1
0.88957,0.65619,1
0.42894,0.014871,1
0.35844,-0.26768,1
0.91876,-0.54672,1
0.55067,0.069663,1
0.21545,-0.42103,1
0.896,-0.86326,1
-0.88072,-0.83006,1
-0.46258,-0.86332,1
0.97336,-0.18037,1
0.54441,-0.75324,1
-0.049291,-0.11397,1
0.3618,0.79788,1
-0.16613,-0.29272,1
-0.2397,-0.75964,1
-0.57346,0.13822,1
-0.23412,0.75007,1
-0.94066,-0.30285,1
-0.055358,-0.91616,1
-0.33325,-0.71532,1
0.95169,-0.84681,1
0.11089,0.48105,1
0.69261,-0.08695,1
-0.18387,0.3365,1
-0.075964,0.39849,1
0.65261,0.14271,1
0.98241,0.25739,1
0.047895,0.75553,1
0.85087,0.3247,1
0.47804,0.75083,1
0.13486,-0.064966,1
0.93756,-0.71733,1
0.649,-0.86373,1
0.91922,0.42848,1
0.29269,-0.38403,1
-0.24085,0.34233,1
-0.046851,0.30484,1
0.82378,0.062098,1
-0.97029,0.43021,1
-0.68661,0.009621,1
-0.056864,-0.024001,1
0.085983,-0.004323,1
-0.88062,0.87195,1
0.31606,-0.22144,1
0.77927,-0.76571,1
-0.78073,-0.51915,1
-0.12445,0.36982,1
-0.43954,0.67851,1
0.97049,0.94029,1
0.21752,-0.56966,1
-0.4925,0.52069,1
-0.73477,0.16821,1
0.09001,-0.1941,1
0.65561,0.020081,1
0.67401,-0.008712,1
0.6667,0.30274,1
-0.59257,0.48741,1
0.088835,-0.39609,1
0.74989,-0.82078,1
-0.758,0.65193,1
0.7127,-0.22083,1
0.79955,0.55061,1
-0.56427,-0.64126,1
-0.84604,-0.78128,1
-0.05157,0.81032,1
0.67005,0.7527,1
-0.061213,0.99959,1
-0.17246,0.72851,1
0.005492,-0.92624,1
-0.74912,0.089365,1
-0.73543,0.99523,1
0.74095,0.022016,1
0.2059,0.74702,1
-0.4694,-0.85956,1
0.72961,0.97508,1
-0.88378,0.84543,1
1.3375,-1.4755,-1
0.29895,-1.6339,-1
-0.1743,-1.9561,-1
1.5376,1.1589,-1
0.88342,-1.0585,-1
-1.9255,-0.20792,-1
-0.24596,-1.7544,-1
-1.5319,0.56926,-1
1.2587,-1.1149,-1
-0.70058,1.3482,-1
-1.0151,1.8843,-1
-0.62915,1.3855,-1
-0.41671,-1.0523,-1
-0.40748,1.8294,-1
1.8037,-1.3096,-1
0.88939,-1.6386,-1
1.3275,1.4343,-1
-1.4626,1.6443,-1
-1.7581,0.79854,-1
-1.663,0.90073,-1
-1.3444,-1.0805,-1
-0.79309,1.2425,-1
-1.9533,-0.38463,-1
0.15962,1.9538,-1
-1.6185,-1.64,-1
-1.4139,-0.71624,-1
1.4373,-1.7576,-1
1.8969,0.90275,-1
1.9874,0.11744,-1
0.21417,1.3199,-1
0.061834,1.435,-1
