x1,x2,class
0.3344,0.3506,0
0.8543,0.8098,1
0.0151,0.9703,0
0.2585,0.2371,0
0.7213,0.4227,1
0.0885,0.9965,1
0.862,0.6118,1
0.1667,0.0185,0
0.4516,0.9582,1
0.2838,0.0548,0
0.5477,0.9686,1
0.9714,0.416,1
0.1488,0.851,0
0.8683,0.8875,1
0.4884,0.4818,0
0.5909,0.0902,0
0.0034,0.4914,0
0.4856,0.6272,1
0.7314,0.6052,1
0.537,0.5794,1
0.9865,0.6726,1
0.5016,0.3908,0
0.0497,0.04,0
0.1105,0.0885,0
0.4715,0.9914,1
0.1651,0.2629,0
0.4555,0.0437,0
0.6169,0.7383,1
0.115,0.3537,0
0.0826,0.7629,0
0.019,0.7841,0
0.0872,0.0283,0
0.4141,0.8034,1
0.442,0.9135,1
0.8562,0.9553,1
0.2405,0.9368,1
0.8434,0.8859,1
0.3748,0.8361,1
0.019,0.9108,0
0.7461,0.568,1
0.1644,0.881,1
0.02,0.2106,0
0.5853,0.7858,1
0.7991,0.4195,1
0.6816,0.631,1
0.2981,0.9951,1
0.5351,0.1428,0
0.1747,0.3689,0
0.5323,0.0168,0
0.2122,0.5157,0
0.6844,0.6177,1
0.3882,0.147,0
0.2296,0.1074,0
0.5751,0.9575,1
0.1308,0.901,1
0.2849,0.8016,1
0.0764,0.0884,0
0.3893,0.0252,0
0.8705,0.8348,1
0.6117,0.1474,0
0.3668,0.9255,1
0.6451,0.9335,1
0.6171,0.1071,0
0.3377,0.8776,1
0.1655,0.4063,0
0.945,0.1391,1
0.51,0.7967,1
0.9537,0.1329,1
0.4699,0.4882,0
0.9329,0.7587,1
0.7917,0.9567,1
0.4943,0.9423,1
0.0137,0.322,0
0.2402,0.924,1
0.4379,0.6268,1
0.888,0.6447,1
0.9132,0.6113,1
0.6237,0.0479,0
0.4692,0.6768,1
0.8242,0.966,1
0.3626,0.9241,1
0.6668,0.4163,1
0.3483,0.322,0
0.1238,0.1241,0
0.4664,0.7484,1
0.0401,0.3177,0
0.5467,0.0295,0
0.9628,0.7297,1
0.1846,0.6828,0
0.042,0.5145,0
0.4456,0.808,1
0.3957,0.8954,1
0.9702,0.9924,1
0.6694,0.4045,1
0.7302,0.2381,0
0.1097,0.137,0
0.495,0.433,0
0.9254,0.8402,1
0.6721,0.6836,1
0.4234,0.3037,0
0.3188,0.3722,0
0.9918,0.1781,1
0.7544,0.3588,1
0.3256,0.2558,0
0.3782,0.3841,0
0.5684,0.1962,0
0.7324,0.4476,1
0.41,0.0826,0
0.6137,0.2613,0
0.972,0.4726,1
0.8562,0.4328,1
0.3849,0.0204,0
0.2731,0.1585,0
0.8345,0.6616,1
0.4922,0.585,1
0.4707,0.1812,0
0.1452,0.3493,0
0.1003,0.6272,0
0.303,0.5119,0
0.9835,0.8417,1
0.0777,0.1023,0
0.2625,0.9614,1
0.3628,0.154,0
0.6433,0.735,1
0.0963,0.9924,1
0.0247,0.4698,0
0.3117,0.4641,0
0.9542,0.6104,1
0.9053,0.9597,1
0.7284,0.282,0
0.6557,0.9332,1
0.6162,0.2551,0
0.2136,0.7822,0
0.7077,0.3081,0
0.1875,0.2712,0
0.8938,0.1466,1
0.0581,0.9833,1
0.323,0.0628,0
0.8535,0.7469,1
0.1216,0.3031,0
0.75,0.6864,1
0.4727,0.6446,1
0.3025,0.1185,0
0.6023,0.4356,1
0.2124,0.2802,0
0.6958,0.1299,0
0.296,0.5441,0
0.1918,0.3311,0
0.3232,0.0643,0
0.9334,0.0876,0
0.6676,0.4095,1
0.7514,0.7316,1
0.9728,0.8446,1
0.4279,0.4082,0
0.3026,0.6984,0
0.8546,0.4325,1
0.3971,0.2173,0
0.7344,0.7188,1
0.6411,0.4105,1
0.8652,0.918,1
0.3907,0.6449,1
0.9937,0.3832,1
0.3148,0.3555,0
0.0404,0.1674,0
0.3458,0.5765,0
0.8301,0.6913,1
0.8219,0.6076,1
0.3277,0.9464,1
0.9167,0.7574,1
0.6292,0.2083,0
0.0718,0.613,0
0.6787,0.7048,1
0.3594,0.8538,1
0.1535,0.4915,0
0.0496,0.8624,0
0.814,0.6832,1
0.8874,0.122,0
0.012,0.9384,0
0.2498,0.0069,0
0.0534,0.1625,0
0.3518,0.6314,0
0.3738,0.206,0
0.7002,0.6816,1
0.4415,0.5504,0
0.8791,0.7829,1
0.2034,0.2709,0
0.1061,0.2495,0
0.2353,0.9355,1
0.6105,0.15,0
0.5958,0.2232,0
0.535,0.5695,1
0.652,0.6688,1
0.7587,0.2858,1
0.3059,0.5243,0
0.2942,0.2203,0
0.5185,0.5656,1
0.7203,0.3648,1
0.9114,0.4901,1
0.3238,0.4394,0
0.225,0.9343,1
0.1161,0.945,1
0.3242,0.8489,1
0.0406,0.1015,0
0.3298,0.825,1
0.1087,0.2876,0
0.585,0.5273,1
0.8861,0.103,0
0.8986,0.4515,1
0.5354,0.3019,0
0.7552,0.6161,1
0.4167,0.3586,0
0.0241,0.6113,0
0.2002,0.8532,1
0.2266,0.8539,1
0.5582,0.5465,1
0.0771,0.6389,0
0.4198,0.3159,0
0.5776,0.0779,0
0.841,0.0117,0
0.6744,0.6373,1
0.8111,0.4811,1
0.0759,0.0464,0
0.5711,0.5505,1
0.1059,0.3428,0
0.7155,0.0202,0
0.3176,0.6446,0
0.6886,0.5496,1
0.8766,0.4149,1
0.0032,0.8047,0
0.4294,0.1586,0
0.3389,0.7522,1
0.7857,0.4874,1
0.7711,0.4203,1
0.6584,0.6812,1
0.3906,0.9943,1
0.2379,0.9831,1
0.1226,0.9981,1
0.2094,0.5199,0
0.6222,0.6647,1
0.5924,0.8105,1
0.9666,0.2273,1
0.5148,0.6712,1
0.9411,0.5186,1
0.231,0.2413,0
0.5591,0.4384,0
0.084,0.6226,0
0.8245,0.6633,1
0.1754,0.6531,0
0.5635,0.9197,1
0.8135,0.6072,1
0.949,0.057,0
0.6496,0.4153,1
0.1986,0.473,0
0.0825,0.2829,0
0.3666,0.2712,0
0.9844,0.5832,1
0.2802,0.5354,0
0.2275,0.3591,0
0.1359,0.5482,0
0.9017,0.0909,0
0.4309,0.2868,0
0.5611,0.4918,1
0.0144,0.5599,0
0.4774,0.4213,0
0.834,0.5112,1
0.0579,0.3959,0
0.3205,0.1487,0
0.3858,0.8846,1
0.7268,0.3547,1
0.9673,0.5823,1
0.9702,0.5884,1
0.6265,0.6297,1
0.8516,0.6047,1
0.2888,0.7086,0
0.3774,0.7214,1
0.2303,0.4125,0
0.9839,0.1856,1
0.0073,0.0239,0
0.6934,0.4058,1
0.3792,0.8659,1
0.7139,0.8749,1
0.1277,0.8062,0
0.0776,0.5464,0
0.5682,0.6897,1
0.8953,0.679,1
0.6109,0.8124,1
0.8061,0.1306,0
0.034,0.1697,0
0.6185,0.7017,1
0.3614,0.3515,0
0.1405,0.6298,0
0.1284,0.8298,0
0.036,0.2577,0
0.4019,0.8668,1
0.9732,0.9511,1
0.8901,0.4555,1
0.6,0.3262,0
0.3972,0.1578,0
0.0188,0.8101,0
0.7722,0.8063,1
0.6947,0.6879,1
0.0401,0.2238,0
0.7342,0.3335,1
0.8113,0.0502,0
0.0648,0.1661,0
0.4866,0.3922,0
0.9936,0.8932,1
0.3897,0.6634,1
0.7017,0.3292,1
0.2148,0.8246,1
0.4994,0.2422,0
0.0556,0.9074,0
0.0355,0.2915,0
0.4893,0.6232,1
0.2948,0.8068,1
0.0648,0.032,0
